"A375-MDSC1"	"A375-MDSC2"	"A375-MDSC3"	"MDSC+4-IPP1"	"MDSC+4-IPP2"	"MDSC+4-IPP3"	"Cultured Monocytes1"	"Cultured Monocytes2"	"Cultured Monocytes3"
"ADAM15"	3.52752	3.58123	3.6068	3.75542	3.8506	3.63452	3.6068	3.82185	3.55595
"ADAM17"	5.65043	5.60892	5.50293	5.81041	6.02567	6.35186	5.6149	5.76241	5.86286
"ADAM18"	5.60005666666667	5.57032	5.68710333333333	4.88122333333333	4.79293666666667	4.79727666666667	5.53466	5.51021	5.44735666666667
"ADAM19"	3.624985	3.595935	3.54757	3.105555	3.292895	3.11152	4.955385	4.76082	4.87437
"ADAM2"	4.880525	4.860525	4.82311	4.80576	5.01384	4.7248	4.87502	4.859495	4.99122
"ADAM20"	7.61441	7.5671025	7.74595	6.2788275	6.1404775	6.531215	4.47394	4.50889	4.6765225
"ADAM21"	7.017875	7.0481775	7.090845	6.91525	7.0706225	7.18846	6.6420925	6.70516	6.58856
"ADAM22"	5.95061	6.176435	6.00181	5.55566	5.85822	6.34635	5.77375	5.747925	5.686785
"ADAM23"	3.15353666666667	3.07719	3.06443333333333	3.27656333333333	3.41617	3.18778666666667	3.17361666666667	3.15104666666667	3.24936666666667
"ADAM28"	8.50023333333333	8.59001333333333	8.68392333333333	8.71410666666667	8.64722333333333	8.68621333333333	9.63731666666667	9.70407	9.49496
"ADAM29"	4.122075	4.086025	4.069325	4.24945	4.890605	4.251175	4.41522	4.415705	4.45934
"ADAM30"	8.17956	8.11749	8.10336	8.10734	8.10151	8.08314	7.8332	7.80153	7.73207
"ADAM32"	9.419625	9.44623	9.434025	8.99338	8.835035	8.97118	9.60467	9.564625	9.558815
"ADAM33"	3.58644	3.75091	3.79487	4.53633	3.79487	3.74068	3.83336	3.79487	3.79487
"ADAM3A"	3.6068	3.67219	3.44291	4.14686	4.0653	3.65694	3.67219	3.59722	3.71944
"ADAM7"	2.91559	3.24668	3.12221	3.36104	4.39961	3.93908	3.36104	3.36104	3.63438
"ADAM8"	7.96220666666667	7.92029666666667	7.83896666666667	6.67927666666667	6.57435666666667	6.4097	6.69061666666667	6.87197333333333	6.84082
