ID	Gene Symbol	GENE_ID
1552830_PM_at	FBXO39	162517
1552833_PM_at	B3GNT6	192134
1552834_PM_at	B3GNT6	192134
1552835_PM_at	DENND1B	163486
1552836_PM_at	ZNF619	285267
1552837_PM_at	ICK	22858
1552839_PM_at	FAM71D	161142
1552841_PM_s_at	BCL2L14	79370
1552842_PM_at	HS6ST3	266722
1552843_PM_at	SLC26A1	10861
1552845_PM_at	CLDN15	24146
1552846_PM_s_at	RAB42	115273
1552848_PM_a_at	PTCHD1	139411
1552849_PM_at	C2orf65	130951
1552851_PM_at	ZSCAN4	201516
1552852_PM_a_at	ZSCAN4	201516
1552853_PM_at	VWA5B1	127731
1552854_PM_a_at	VWA5B1	127731
1552856_PM_at	TMEM148	197196
1552857_PM_a_at	HTR6	3362
1552858_PM_at	MAGEB6	158809
1552860_PM_at	TCEB3C	162699
1552862_PM_at	C1orf104	284618
1552863_PM_a_at	CACNG6	59285
1552865_PM_a_at	IFLTD1	160492
1552867_PM_at		
1552868_PM_at	C19orf23	148046
1552870_PM_s_at	C1orf125	126859
1552872_PM_at	NCRNA00105	80161
1552873_PM_s_at	NCRNA00105	80161
1552875_PM_a_at	CD200R1	131450
1552876_PM_at	C21orf89	114042
1552877_PM_s_at	C21orf89	114042
1552878_PM_at	ATOH7	220202
1552879_PM_a_at	ATOH7	220202
1552880_PM_at	SEC16B	89866
1552882_PM_a_at	FAM123B	139285
1552884_PM_at	NKX6-3	157848
1552885_PM_a_at	NKX6-3	157848
1552887_PM_at	C10orf27	219793
1552889_PM_a_at	EXOC3L2	90332
1552890_PM_a_at	CABP4	57010
1552892_PM_at	TNFRSF13C	115650
1552893_PM_at	CAMK2N2	94032
1552895_PM_a_at	C21orf99	149992
1552897_PM_a_at	KCNG3	170850
1552898_PM_a_at	KCNG3	170850
1552899_PM_at	MGC34034	154089
1552900_PM_a_at	MGC34034	154089
1552902_PM_a_at	FOXP2	93986
1552903_PM_at	B4GALNT2	124872
1552904_PM_at	NETO1	81832
